会場,開催曜日,搬出期限（曜日）,搬出期限（時刻）,延長可,備考
USS東京,,,,,
USS大阪会場,,,,,
USS名古屋,,,,,
USS-R名古屋,,,,,
USS神戸,,,,,
USS横浜,,,,,
USS九州,,,,,
USS岡山,,,,,
USS北陸,,,,,
USS埼玉,,,,,
USS東北,,,,,
USS福岡,,,,,
USS新潟,,,,,
USS群馬,,,,,
USS静岡,,,,,
USS札幌,,,,,
TAA中部,,,,,
TAA横浜,,,,,
TAA広島,,,,,
TAA南九州,,,,,
TAA九州,,,,,
TAA近畿,,,,,
TAA関東,,,,,
TAA兵庫,,,,,
TAA四国,,,,,
TAA東北,,,,,
JUコーポ/JU埼玉,,,,,
JUコーポ/JU千葉,,,,,
JUコーポ/JU栃木,,,,,
JUコーポ/JU群馬,,,,,
JUコーポ/JU茨城,,,,,
JUコーポ/JU東京,,,,,
JUコーポ/JU神奈川,,,,,
JUコーポ/JU新潟,,,,,
JUコーポ/JU富山,,,,,
JUコーポ/JU石川,,,,,
JUコーポ/JU福井,,,,,
JUコーポ/JU長野,,,,,
JUコーポ/JU静岡,,,,,
JUコーポ/JU岐阜,,,,,
JUコーポ/JU三重,,,,,
JUコーポ/JU広島,,,,,
JUコーポ/JU山口,,,,,
JUコーポ/JU山形,,,,,
JUコーポ/JU島根,,,,,
JUコーポ/JU宮城,,,,,
JUコーポ/JU福島,,,,,
JUコーポ/JU奈良,,,,,
JUコーポ/JU福岡,,,,,
JUコーポ/JU鹿児島,,,,,
JUコーポ/JU愛知,,,,,
JUコーポ/ミライブ愛知,,,,,
JUトレード,,,,,
JUコーポレーション,,,,,
JU広島,,,,,
JU岐阜,,,,,
JU愛知,,,,,
アイオーク/IAA大阪,,,,,
アイオーク/日産大阪,,,,,
アイオーク/日産プラザソル大阪入札会,,,,,
アイオーク/JU福井,,,,,
アイオーク/LUM東京,,,,,
アイオーク/LUM福岡,,,,,
アイオーク/ゼロカーセレ,,,,,
アイオーク/ヒーロー,,,,,
iAUC,,,,,
CAA中部,,,,,
CAA岐阜,,,,,
CAA東京,,,,,
CAA東北,,,,,
KCAA南九州,,,,,
KCAA山口,,,,,
KCAA京都,,,,,
KCAA福岡,,,,,
LAA四国,,,,,
LAA岡山,,,,,
HAA神戸,,,,,
ホンダAA九州,,,,,
ホンダAA関西,,,,,
ホンダAA名古屋,,,,,
ホンダAA東京,,,,,
アライVT,,,,,
アライVT(SLIDE),,,,,
アライ小山,,,,,
アライベイサイド,,,,,
アライ建機,,,,,
ARAI AI-NET事業部,,,,,
ミライブ大阪,,,,,
ミライブ埼玉,,,,,
ミライブ愛知,,,,,
JAA,,,,,
Hanamaru,,,,,
TAU,,,,,
NAA大阪,,,,,
NOAA,,,,,
ORIX神戸入礼会,,,,,
ベイオーク,,,,,
イスズ神戸,,,,,
いすゞ自動車,,,,,
ZIP東京,,,,,
ディスティニートレーディング,,,,,
(株)エコアール,,,,,
(株)ジップ,,,,,
(株)信栄商会,,,,,
Yahoo auction,,,,,
